Data;Hora;Empuxo;Tempo
24/4/2025;8:34:16;0.2453;0.0
24/4/2025;8:34:16;0.5886;0.095
24/4/2025;8:34:16;0.8044;0.19
24/4/2025;8:34:16;0.9614;0.284
24/4/2025;8:34:17;1.1576;0.38
24/4/2025;8:34:17;1.3047;0.474
24/4/2025;8:34:17;1.4715;0.569
24/4/2025;8:34:17;1.6481;0.664
24/4/2025;8:34:17;1.9031;0.759
24/4/2025;8:34:17;2.1876;0.853
24/4/2025;8:34:17;2.4231;0.949
24/4/2025;8:34:17;2.8057;1.043
24/4/2025;8:34:17;3.2864;1.153
24/4/2025;8:34:17;3.7769;1.241
24/4/2025;8:34:18;4.3654;1.33
24/4/2025;8:34:18;5.0816;1.423
24/4/2025;8:34:18;5.837;1.518
24/4/2025;8:34:18;6.3961;1.612
24/4/2025;8:34:18;6.0822;1.708
24/4/2025;8:34:18;4.6107;1.802
24/4/2025;8:34:18;2.9038;1.898
24/4/2025;8:34:18;1.6088;1.992
24/4/2025;8:34:18;0.8633;2.087
24/4/2025;8:34:18;0.412;2.182
