Data;Hora;Empuxo;Tempo
4/4/2025;12:23:1;3.4826;0.0
4/4/2025;12:23:2;5.7683;0.095
4/4/2025;12:23:2;8.8879;0.189
4/4/2025;12:23:2;12.2331;0.284
4/4/2025;12:23:2;14.7444;0.378
4/4/2025;12:23:2;17.7169;0.473
4/4/2025;12:23:2;21.1013;0.567
4/4/2025;12:23:2;24.5446;0.662
4/4/2025;12:23:2;27.9193;0.756
4/4/2025;12:23:2;31.1468;0.851
4/4/2025;12:23:2;34.8746;0.945
4/4/2025;12:23:2;39.0928;1.045
4/4/2025;12:23:3;42.1536;1.133
4/4/2025;12:23:3;44.8317;1.231
4/4/2025;12:23:3;47.6177;1.322
4/4/2025;12:23:3;50.4724;1.42
4/4/2025;12:23:3;52.5129;1.511
4/4/2025;12:23:3;53.4155;1.609
4/4/2025;12:23:3;49.6778;1.7
4/4/2025;12:23:3;34.178;1.798
4/4/2025;12:23:3;14.6856;1.889
4/4/2025;12:23:3;5.0423;1.987
4/4/2025;12:23:3;2.7272;2.079
